date;artist;artist_id;spotify_data;artist_name;artist_genres;artist_popularity;artist_followers
2022-06-28;Fisz Emade Tworzywo;0YYxsW13yGiA2e80fu4VIA;Fisz Emade Tworzywo|polish alternative|44|101219;Fisz Emade Tworzywo;polish alternative;44;101219
2022-06-28;Vito Bambino;5XGkLMcwitYFdwroktQs7o;Vito Bambino|polish alternative,polish pop|60|56121;Vito Bambino;polish alternative,polish pop;60;56121
2022-06-28;Kirk Hammett;2ePzbA0F0TD96Na0MEB2Cf;Kirk Hammett||35|25879;Kirk Hammett;;35;25879
2022-06-28;Artist For Ukraine;3BzNLpnqZ1IMvso6rdIeUh;Artists for Ukraine||8|31;Artists for Ukraine;;8;31
2022-06-28;Kwiat Jabłoni;53l3yjX8ITilPIlCRsVKEB;Kwiat Jabłoni|polish alternative,polish pop|60|203617;Kwiat Jabłoni;polish alternative,polish pop;60;203617
2022-06-28;Mick Jagger;3d2pb1dHTm8b61zAGVUVvO;Mick Jagger|album rock,blues rock,classic rock,dance rock,mellow gold,rock,soft rock|56|454302;Mick Jagger;album rock,blues rock,classic rock,dance rock,mellow gold,rock,soft rock;56;454302
2022-06-28;Sanah;0TMvoNR0AIJV138mHY6jdE;sanah|polish pop|70|1328650;sanah;polish pop;70;1328650
2022-06-28;Harry Styles;6KImCVD70vtIoJWnq6nGn3;Harry Styles|pop|93|21650434;Harry Styles;pop;93;21650434
2022-06-28;Pink Floyd;0k17h0D3J5VfsdmQ1iZtE9;Pink Floyd|album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock|77|17139793;Pink Floyd;album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock;77;17139793
2022-06-28;Sosnowski;41qXa50750tdWTyhtp1iCq;Sosnowski|polish blues|29|4020;Sosnowski;polish blues;29;4020
2022-06-28;Pablopavo i Ludziki;5y7leUjjrhUswowWshGpCi;Pablopavo i Ludziki|polish alternative,polish reggae|35|19294;Pablopavo i Ludziki;polish alternative,polish reggae;35;19294
2022-06-28;Myslovitz;3sntDD4Y2K97qvDq3GPqZ5;Myslovitz|polish alternative,polish alternative rock,polish indie,polish indie rock,polish pop,polish rock|48|181133;Myslovitz;polish alternative,polish alternative rock,polish indie,polish indie rock,polish pop,polish rock;48;181133
2022-06-28;Sheryl Crow;4TKTii6gnOnUXQHyuo9JaD;Sheryl Crow|lilith,mellow gold,new wave pop,permanent wave,pop rock,rock|65|913151;Sheryl Crow;lilith,mellow gold,new wave pop,permanent wave,pop rock,rock;65;913151
2022-06-28;Michelle Gurevich;2lP3Fx1aGCbQvH1F6i5Qeg;Michelle Gurevich|slowcore|45|91028;Michelle Gurevich;slowcore;45;91028
