date;artist;track;spotify_data;album_name;album_release_date;track_popularity;artist_id
2022-06-28;Fisz Emade Tworzywo;ZA MAŁO CZASU;Ballady I Protesty|2021-10-29|44|0YYxsW13yGiA2e80fu4VIA;Ballady I Protesty;2021-10-29;44.0;0YYxsW13yGiA2e80fu4VIA
2022-06-28;Harry Styles;AS IT WAS;As It Was|2022-03-31|100|6KImCVD70vtIoJWnq6nGn3;As It Was;2022-03-31;100.0;6KImCVD70vtIoJWnq6nGn3
2022-06-28;Kaśka Sochacka;DLA MNIE TO JUŻ KONIEC;Ciche dni|2021-03-26|51|3ClL18AtCAPwXVT6mUkBDN;Ciche dni;2021-03-26;51.0;3ClL18AtCAPwXVT6mUkBDN
2022-06-28;Rammstein;ZICK ZACK;Zeit|2022-04-29|74|6wWVKhxIU2cEi0K81v7HvP;Zeit;2022-04-29;74.0;6wWVKhxIU2cEi0K81v7HvP
2022-06-28;Sanah;SEN WE ŚNIE;UCZTA|2022-04-14|64|0TMvoNR0AIJV138mHY6jdE;UCZTA;2022-04-14;64.0;0TMvoNR0AIJV138mHY6jdE
2022-06-28;Sanah;ELDORADO;UCZTA|2022-04-14|65|0TMvoNR0AIJV138mHY6jdE;UCZTA;2022-04-14;65.0;0TMvoNR0AIJV138mHY6jdE
2022-06-28;Mick Jagger;STRANGE GAME;"Strange Game (From The ATV+ Original Series ""Slow Horses”)|2022-04-01|47|3d2pb1dHTm8b61zAGVUVvO";"Strange Game (From The ATV+ Original Series ""Slow Horses”)";2022-04-01;47.0;3d2pb1dHTm8b61zAGVUVvO
2022-06-28;Polskie Znaki;OH ANGEL;Rzeczy ostatnie|2022-03-25|26|51mMxJU8FRsiFRbXnYB3or;Rzeczy ostatnie;2022-03-25;26.0;51mMxJU8FRsiFRbXnYB3or
2022-06-28;Kwiat Jabłoni;KOMETA;Mogło być nic|2021-02-05|52|53l3yjX8ITilPIlCRsVKEB;Mogło być nic;2021-02-05;52.0;53l3yjX8ITilPIlCRsVKEB
2022-06-28;Anieli;NIEMIŁOŚĆ;Niemiłość|2022-04-20|42|014XDYJJQpJHyaZyxpJrrB;Niemiłość;2022-04-20;42.0;014XDYJJQpJHyaZyxpJrrB
2022-06-28;T.Love;JA CIEBIE KOCHAM;Hau! Hau!|2022-04-22|39|2L14uYIQePr3ZEutb6feZz;Hau! Hau!;2022-04-22;39.0;2L14uYIQePr3ZEutb6feZz
2022-06-28;Igo;BRUDAS;Brudas|2022-04-12|51|6I5JdHLVup9pIjn9g5K20N;Brudas;2022-04-12;51.0;6I5JdHLVup9pIjn9g5K20N
2022-06-28;Artist For Ukraine;MAMY SIEBIE - MUSIC AGAINST WAR;Mamy siebie (Music Against War)|2022-04-20|26|3BzNLpnqZ1IMvso6rdIeUh;Mamy siebie (Music Against War);2022-04-20;26.0;3BzNLpnqZ1IMvso6rdIeUh
2022-06-28;Kirk Hammett;HIGH PLAINS DRIFTER;High Plains Drifter|2022-04-15|45|2ePzbA0F0TD96Na0MEB2Cf;High Plains Drifter;2022-04-15;45.0;2ePzbA0F0TD96Na0MEB2Cf
2022-06-28;Vito Bambino;POSZŁO;Poszło|2022-04-06|55|5XGkLMcwitYFdwroktQs7o;Poszło;2022-04-06;55.0;5XGkLMcwitYFdwroktQs7o
2022-06-28;Sheryl Crow;FOREVER;Forever|2022-03-25|34|4TKTii6gnOnUXQHyuo9JaD;Forever;2022-03-25;34.0;4TKTii6gnOnUXQHyuo9JaD
2022-06-28;Röyksopp;IF YOU WANT ME;Profound Mysteries|2022-04-29|47|5nPOO9iTcrs9k6yFffPxjH;Profound Mysteries;2022-04-29;47.0;5nPOO9iTcrs9k6yFffPxjH
2022-06-28;Architects;WHEN WE WERE YOUNG;when we were young|2022-04-20|64|3ZztVuWxHzNpl0THurTFCv;when we were young;2022-04-20;64.0;3ZztVuWxHzNpl0THurTFCv
2022-06-28;Pink Floyd;HEY HEY RISE UP;Hey Hey Rise Up (feat. Andriy Khlyvnyuk of Boombox)|2022-04-08|58|0k17h0D3J5VfsdmQ1iZtE9;Hey Hey Rise Up (feat. Andriy Khlyvnyuk of Boombox);2022-04-08;58.0;0k17h0D3J5VfsdmQ1iZtE9
2022-06-28;DJ BRK;ROBIĘ CO MOGĘ;Robię Co Mogę|2022-04-18|56|2jNxbYSRQ7pkrxVuOjES7n;Robię Co Mogę;2022-04-18;56.0;2jNxbYSRQ7pkrxVuOjES7n
2022-06-28;Sosnowski;PYŁ;Pył|2022-04-08|39|41qXa50750tdWTyhtp1iCq;Pył;2022-04-08;39.0;41qXa50750tdWTyhtp1iCq
2022-06-28;Pablopavo i Ludziki;PROWADZIMY CZYNNOŚCI;Mozaika|2022-03-30|35|5y7leUjjrhUswowWshGpCi;Mozaika;2022-03-30;35.0;5y7leUjjrhUswowWshGpCi
2022-06-28;Röyksopp;IMPOSSIBLE;Profound Mysteries|2022-04-29|46|5nPOO9iTcrs9k6yFffPxjH;Profound Mysteries;2022-04-29;46.0;5nPOO9iTcrs9k6yFffPxjH
2022-06-28;Hidden By Ivy;UNDER THE WAVES;Absent|2021-11-19|17|2nfwzENcmwKAejFHkmOl0J;Absent;2021-11-19;17.0;2nfwzENcmwKAejFHkmOl0J
2022-06-28;Placebo;TRY BETTER NEXT TIME;Never Let Me Go|2022-03-25|36|6RZUqkomCmb8zCRqc9eznB;Never Let Me Go;2022-03-25;36.0;6RZUqkomCmb8zCRqc9eznB
2022-06-28;Tears For Fears;BREAK THE MAN;The Tipping Point|2022-02-25|53|4bthk9UfsYUYdcFyqxmSUU;The Tipping Point;2022-02-25;53.0;4bthk9UfsYUYdcFyqxmSUU
2022-06-28;Ewa Bem;WYRZEŹBIŁAM TWOJĄ TWARZ W POWIETRZU (LIVE);Live|2021-11-12|16|6E6qou5XcK7fjR7Ikvq0AP;Live;2021-11-12;16.0;6E6qou5XcK7fjR7Ikvq0AP
2022-06-28;Tori Amos;SPIES;Ocean to Ocean|2021-10-29|40|1KsASRNugxU85T0u6zSg32;Ocean to Ocean;2021-10-29;40.0;1KsASRNugxU85T0u6zSg32
2022-06-28;Kae Tempest;MORE PRESSURE;More Pressure|2022-01-10|43|1YcprGtF13BYCZQK9jYPEw;More Pressure;2022-01-10;43.0;1YcprGtF13BYCZQK9jYPEw
2022-06-28;Rammstein;ZEIT;Zeit|2022-04-29|75|6wWVKhxIU2cEi0K81v7HvP;Zeit;2022-04-29;75.0;6wWVKhxIU2cEi0K81v7HvP
2022-06-28;Florence And The Machine;KING;Dance Fever|2022-05-13|69|1moxjboGR7GNWYIMWsRjgG;Dance Fever;2022-05-13;69.0;1moxjboGR7GNWYIMWsRjgG
2022-06-28;Polskie Znaki;NIECH MONARCHOWIE;Niech monarchowie|2022-03-09|37|51mMxJU8FRsiFRbXnYB3or;Niech monarchowie;2022-03-09;37.0;51mMxJU8FRsiFRbXnYB3or
2022-06-28;Florence And The Machine;MY LOVE;My Love|2022-03-10|70|1moxjboGR7GNWYIMWsRjgG;My Love;2022-03-10;70.0;1moxjboGR7GNWYIMWsRjgG
2022-06-28;Karaś/Rogucki;ZAPASOWY TLEN;Zapasowy Tlen|2022-03-08|40|1ZAGaCgMaOtt2yOUm1Qq6x;Zapasowy Tlen;2022-03-08;40.0;1ZAGaCgMaOtt2yOUm1Qq6x
